Month,CIV,CIE,St Albans,Camden,EH,Westin,Canopy
01/06/2023,4292.14,8935.71,44100,69868.6,15004.29,208354,191890
01/07/2023,2139,7668.81,34286,61025.71,12508.5,217630,211508
01/08/2023,2528.71,7630.43,34808.57,69882.86,10132.57,233713,206892
01/09/2023,3255,8241.43,23882.14,54828.57,9561,243850,217559
01/10/2023,4446.29,5716.68,41886.5,60000,8062.5,189639,197672
01/11/2023,5332.5,5687.14,48490.7,73988.8,9041.8,198406,208910
01/12/2023,5727.62,6126.93,48927.8,79243.7,9550.3,220673,221691
01/01/2024,5549,6577.9,54190.2,83352.3,8732.2,194649,176798
01/02/2024,4872,5723.36,43326.9,65302.8,8186.2,162096,143306
01/03/2024,4644.1,5923.21,46834.9,66096.3,9119.3,183590,164384
01/04/2024,4238.57,6242.14,42424.6,58228.4,8432.2,185323,127042
01/05/2024,5981.89,5921,34461.7,53000.3,8770.5,193653,205887
01/06/2024,4686.43,6581.43,34001.8,55084.5,8633.8,188513,174487
01/07/2024,2780.1,6729.95,37243.9,60164.3,9280.2,208326,214213
01/08/2024,3033.57,7180.93,37780.2,63470.2,9288.9,213943,236111
01/09/2024,2322.8,5462.86,39637.7,49242.86,6763,184062,185326
01/10/2024,5776.33,5218,44983.6,52466.2,5651.3,195239.9,167093
01/11/2024,6720,4429,43853.57,68911.11,9930,188042,213597
01/12/2024,6280.32,6315,47981,66962,12662,180478,183358
01/01/2025,6622.93,5618,53915,77723,16117,167672,172035
01/02/2025,5064.41,5042,44553,71488,11376,150466,153190
